meter_id,risk_score,risk_category
MT_001,0.644684628941251,Medium Risk
MT_002,0.11614219114219115,Low Risk
MT_003,0.0452020202020202,Low Risk
MT_004,0.00909090909090909,Low Risk
MT_005,0.00909090909090909,Low Risk
MT_006,0.00909090909090909,Low Risk
MT_007,0.0452020202020202,Low Risk
MT_008,0.08205128205128205,Low Risk
MT_009,0.00909090909090909,Low Risk
MT_010,0.0,Low Risk
MT_011,0.035586635586635586,Low Risk
MT_012,0.0,Low Risk
MT_013,0.0,Low Risk
MT_014,0.0,Low Risk
MT_015,0.0,Low Risk
MT_016,0.4835491217026874,Medium Risk
MT_017,0.15760887031459817,Low Risk
MT_018,0.037606837606837605,Low Risk
MT_019,0.10427350427350426,Low Risk
MT_020,0.04871794871794872,Low Risk
MT_021,0.0202020202020202,Low Risk
MT_022,0.00909090909090909,Low Risk
MT_023,0.03333333333333333,Low Risk
MT_024,0.09391996891996891,Low Risk
MT_025,0.034090909090909095,Low Risk
MT_026,0.0737179487179487,Low Risk
MT_027,0.0202020202020202,Low Risk
MT_028,0.00909090909090909,Low Risk
MT_029,0.00909090909090909,Low Risk
MT_030,0.06723992668734736,Low Risk
MT_031,0.0202020202020202,Low Risk
MT_032,0.08280885780885781,Low Risk
MT_033,0.034090909090909095,Low Risk
MT_034,0.7333333333333334,High Risk
MT_035,0.023236547963350365,Low Risk
MT_036,0.009090909090909193,Low Risk
MT_037,0.01111111111111111,Low Risk
MT_038,0.08205128205128205,Low Risk
MT_039,0.0737179487179487,Low Risk
MT_040,0.15618159705188733,Low Risk
MT_041,0.04863320048058406,Low Risk
MT_042,0.04871794871794872,Low Risk
MT_043,0.05969785146633657,Low Risk
MT_044,0.04871794871794872,Low Risk
MT_045,0.00909090909090909,Low Risk
MT_046,0.00909090909090909,Low Risk
MT_047,0.0202020202020202,Low Risk
MT_048,0.17457473741184187,Low Risk
MT_049,0.024475524475524476,Low Risk
MT_050,0.00909090909090909,Low Risk
MT_051,0.08205128205128205,Low Risk
MT_052,0.035586635586635586,Low Risk
MT_053,0.04871794871794872,Low Risk
MT_054,0.08205128205128205,Low Risk
MT_055,0.1494623556638787,Low Risk
MT_056,0.5767448108403888,Medium Risk
MT_057,0.00909090909090909,Low Risk
MT_058,0.7333333333333334,High Risk
MT_059,0.07937270642077478,Low Risk
MT_060,0.12927350427350426,Low Risk
MT_061,0.0,Low Risk
MT_062,0.0202020202020202,Low Risk
MT_063,0.12927350427350426,Low Risk
MT_064,0.0,Low Risk
MT_065,0.0202020202020202,Low Risk
MT_066,0.025,Low Risk
MT_067,0.0452020202020202,Low Risk
MT_068,0.10705128205128207,Low Risk
MT_069,0.00909090909090909,Low Risk
MT_070,0.035586635586635586,Low Risk
MT_071,0.035586635586635586,Low Risk
MT_072,0.00909090909090909,Low Risk
MT_073,0.0,Low Risk
MT_074,0.04615443922358853,Low Risk
MT_075,0.0202020202020202,Low Risk
MT_076,0.0202020202020202,Low Risk
MT_077,0.2338819040312678,Low Risk
MT_078,0.00909090909090909,Low Risk
MT_079,0.034090909090909095,Low Risk
MT_080,0.09594017094017093,Low Risk
MT_081,0.035586635586635586,Low Risk
MT_082,0.0202020202020202,Low Risk
MT_083,0.038143166990321456,Low Risk
MT_084,0.00909090909090909,Low Risk
MT_085,0.0737179487179487,Low Risk
MT_086,0.0202020202020202,Low Risk
MT_087,0.0828088578088578,Low Risk
MT_088,0.0,Low Risk
MT_089,0.00909090909090909,Low Risk
MT_090,0.11614219114219115,Low Risk
MT_091,0.10705128205128203,Low Risk
MT_092,0.00909090909090909,Low Risk
MT_093,0.4170967280229446,Medium Risk
MT_094,0.07853535353535353,Low Risk
MT_095,0.00909090909090909,Low Risk
MT_096,0.011690706435215708,Low Risk
MT_097,0.0,Low Risk
MT_098,0.00909090909090909,Low Risk
MT_099,0.0,Low Risk
MT_100,0.0,Low Risk
MT_101,0.0,Low Risk
MT_102,0.0,Low Risk
MT_103,0.0,Low Risk
MT_104,0.0,Low Risk
MT_105,0.0,Low Risk
MT_106,0.0,Low Risk
MT_107,0.12927350427350426,Low Risk
MT_108,0.0202020202020202,Low Risk
MT_109,0.0,Low Risk
MT_110,0.00909090909090909,Low Risk
MT_111,0.00909090909090909,Low Risk
MT_112,0.00909090909090909,Low Risk
MT_113,0.1253431468709179,Low Risk
MT_114,0.0,Low Risk
MT_115,0.08184564797023271,Low Risk
MT_116,0.09391996891996891,Low Risk
MT_117,0.01111111111111111,Low Risk
MT_118,0.04722222222222222,Low Risk
MT_119,0.10842244157362886,Low Risk
MT_120,0.5404466446871362,Medium Risk
MT_121,0.0202020202020202,Low Risk
MT_122,0.06666666666666667,Low Risk
MT_123,0.0202020202020202,Low Risk
MT_124,0.035586635586635586,Low Risk
MT_125,0.0,Low Risk
MT_126,0.0,Low Risk
MT_127,0.4944662811730721,Medium Risk
MT_128,0.08482905982905983,Low Risk
MT_129,0.0,Low Risk
MT_130,0.04871794871794872,Low Risk
MT_131,0.10705128205128203,Low Risk
MT_132,0.21388888888888888,Low Risk
MT_133,0.01111111111111111,Low Risk
MT_134,0.0202020202020202,Low Risk
MT_135,0.0202020202020202,Low Risk
MT_136,0.0202020202020202,Low Risk
MT_137,0.00909090909090909,Low Risk
MT_138,0.0,Low Risk
MT_139,0.0,Low Risk
MT_140,0.5540768656797557,Medium Risk
MT_141,0.0202020202020202,Low Risk
MT_142,0.0,Low Risk
MT_143,0.0,Low Risk
MT_144,0.057808857808857805,Low Risk
MT_145,0.09114219114219115,Low Risk
MT_146,0.07094017094017094,Low Risk
MT_147,0.07094017094017094,Low Risk
MT_148,0.10427350427350426,Low Risk
MT_149,0.3324317962258468,Medium Risk
MT_150,0.057808857808857805,Low Risk
MT_151,0.0,Low Risk
MT_152,0.13017904812048248,Low Risk
MT_153,0.09391996891996891,Low Risk
MT_154,0.5082265052893461,Medium Risk
MT_155,0.02222222222222222,Low Risk
MT_156,0.7333333333333334,High Risk
MT_157,0.0,Low Risk
MT_158,0.0828088578088578,Low Risk
MT_159,0.06734170631297383,Low Risk
MT_160,0.0,Low Risk
MT_161,0.0737179487179487,Low Risk
MT_162,0.0737179487179487,Low Risk
MT_163,0.0737179487179487,Low Risk
MT_164,0.01433234550604357,Low Risk
MT_165,0.0,Low Risk
MT_166,0.0202020202020202,Low Risk
MT_167,0.0,Low Risk
MT_168,0.00909090909090909,Low Risk
MT_169,0.00909090909090909,Low Risk
MT_170,0.0,Low Risk
MT_171,0.0,Low Risk
MT_172,0.10705128205128203,Low Risk
MT_173,0.0,Low Risk
MT_174,0.0,Low Risk
MT_175,0.0,Low Risk
MT_176,0.0,Low Risk
MT_177,0.0,Low Risk
MT_178,0.0,Low Risk
MT_179,0.03333333333333333,Low Risk
MT_180,0.28912897874168414,Low Risk
MT_181,0.0,Low Risk
MT_182,0.0,Low Risk
MT_183,0.10427350427350426,Low Risk
MT_184,0.0,Low Risk
MT_185,0.0,Low Risk
MT_186,0.0,Low Risk
MT_187,0.0202020202020202,Low Risk
MT_188,0.0,Low Risk
MT_189,0.0,Low Risk
MT_190,0.0,Low Risk
MT_191,0.0,Low Risk
MT_192,0.0,Low Risk
MT_193,0.0,Low Risk
MT_194,0.0,Low Risk
MT_195,0.0,Low Risk
MT_196,0.00909090909090909,Low Risk
MT_197,0.0,Low Risk
MT_198,0.0,Low Risk
MT_199,0.0,Low Risk
MT_200,0.0,Low Risk
MT_201,0.0,Low Risk
MT_202,0.0,Low Risk
MT_203,0.03333333333333333,Low Risk
MT_204,0.0,Low Risk
MT_205,0.0,Low Risk
MT_206,0.0,Low Risk
MT_207,0.0,Low Risk
MT_208,0.0,Low Risk
MT_209,0.0,Low Risk
MT_210,0.0,Low Risk
MT_211,0.0,Low Risk
MT_212,0.0,Low Risk
MT_213,0.0,Low Risk
MT_214,0.0,Low Risk
MT_215,0.0,Low Risk
MT_216,0.0,Low Risk
MT_217,0.0,Low Risk
MT_218,0.0,Low Risk
MT_219,0.07635412078255051,Low Risk
MT_220,0.0,Low Risk
MT_221,0.0,Low Risk
MT_222,0.0,Low Risk
MT_223,0.01726865598249553,Low Risk
MT_224,0.0,Low Risk
MT_225,0.0,Low Risk
MT_226,0.0,Low Risk
MT_227,0.0,Low Risk
MT_228,0.0,Low Risk
MT_229,0.0,Low Risk
MT_230,0.0,Low Risk
MT_231,0.0,Low Risk
MT_232,0.6333333333333333,Medium Risk
MT_233,0.0,Low Risk
MT_234,0.7059660386451904,High Risk
MT_235,0.00909090909090909,Low Risk
MT_236,0.0,Low Risk
MT_237,0.0202020202020202,Low Risk
MT_238,0.00909090909090909,Low Risk
MT_239,0.0,Low Risk
MT_240,0.7333333333333334,High Risk
MT_241,0.0,Low Risk
MT_242,0.0,Low Risk
MT_243,0.0,Low Risk
MT_244,0.0,Low Risk
MT_245,0.0,Low Risk
MT_246,0.0,Low Risk
MT_247,0.0,Low Risk
MT_248,0.0,Low Risk
MT_249,0.0202020202020202,Low Risk
MT_250,0.0,Low Risk
MT_251,0.0202020202020202,Low Risk
MT_252,0.0,Low Risk
MT_253,0.0,Low Risk
MT_254,0.0,Low Risk
MT_255,0.0,Low Risk
MT_256,0.0,Low Risk
MT_257,0.0,Low Risk
MT_258,0.0,Low Risk
MT_259,0.0,Low Risk
MT_260,0.0,Low Risk
MT_261,0.00909090909090909,Low Risk
MT_262,0.0,Low Risk
MT_263,0.034090909090909095,Low Risk
MT_264,0.0,Low Risk
MT_265,0.0,Low Risk
MT_266,0.0,Low Risk
MT_267,0.00909090909090909,Low Risk
MT_268,0.0,Low Risk
MT_269,0.0,Low Risk
MT_270,0.0,Low Risk
MT_271,0.0,Low Risk
MT_272,0.0,Low Risk
MT_273,0.0,Low Risk
MT_274,0.0,Low Risk
MT_275,0.0,Low Risk
MT_276,0.0,Low Risk
MT_277,0.0,Low Risk
MT_278,0.0,Low Risk
MT_279,0.7005894265397377,High Risk
MT_280,0.0,Low Risk
MT_281,0.0,Low Risk
MT_282,0.0,Low Risk
MT_283,0.0,Low Risk
MT_284,0.00909090909090909,Low Risk
MT_285,0.0,Low Risk
MT_286,0.0,Low Risk
MT_287,0.0,Low Risk
MT_288,0.0202020202020202,Low Risk
MT_289,0.0,Low Risk
MT_290,0.034090909090909095,Low Risk
MT_291,0.0,Low Risk
MT_292,0.07563848722005236,Low Risk
MT_293,0.0,Low Risk
MT_294,0.0,Low Risk
MT_295,0.0,Low Risk
MT_296,0.0,Low Risk
MT_297,0.0202020202020202,Low Risk
MT_298,0.0,Low Risk
MT_299,0.0,Low Risk
MT_300,0.0,Low Risk
MT_301,0.0,Low Risk
MT_302,0.0,Low Risk
MT_303,0.0,Low Risk
MT_304,0.00909090909090909,Low Risk
MT_305,0.04242424242424242,Low Risk
MT_306,0.7333333333333334,High Risk
MT_307,0.0,Low Risk
MT_308,0.0,Low Risk
MT_309,0.0,Low Risk
MT_310,0.0,Low Risk
MT_311,0.0,Low Risk
MT_312,0.0,Low Risk
MT_313,0.0,Low Risk
MT_314,0.0,Low Risk
MT_315,0.0737179487179487,Low Risk
MT_316,0.0,Low Risk
MT_317,0.0,Low Risk
MT_318,0.0,Low Risk
MT_319,0.0,Low Risk
MT_320,0.0,Low Risk
MT_321,0.0,Low Risk
MT_322,0.0,Low Risk
MT_323,0.0,Low Risk
MT_324,0.0,Low Risk
MT_325,0.0,Low Risk
MT_326,0.0,Low Risk
MT_327,0.0,Low Risk
MT_328,0.7214206241655459,High Risk
MT_329,0.0,Low Risk
MT_330,0.0,Low Risk
MT_331,0.0,Low Risk
MT_332,0.0,Low Risk
MT_333,0.0,Low Risk
MT_334,0.0,Low Risk
MT_335,0.0,Low Risk
MT_336,0.0,Low Risk
MT_337,0.01111111111111111,Low Risk
MT_338,0.0,Low Risk
MT_339,0.0,Low Risk
MT_340,0.0,Low Risk
MT_341,0.0,Low Risk
MT_342,0.0,Low Risk
MT_343,0.0,Low Risk
MT_344,0.0,Low Risk
MT_345,0.00909090909090909,Low Risk
MT_346,0.0,Low Risk
MT_347,0.10075757575757575,Low Risk
MT_348,0.08205128205128205,Low Risk
MT_349,0.0,Low Risk
MT_350,0.0,Low Risk
MT_351,0.0,Low Risk
MT_352,0.0,Low Risk
MT_353,0.0,Low Risk
MT_354,0.0,Low Risk
MT_355,0.0,Low Risk
MT_356,0.0,Low Risk
MT_357,0.0,Low Risk
MT_358,0.0,Low Risk
MT_359,0.0,Low Risk
MT_360,0.0,Low Risk
MT_361,0.024475524475524476,Low Risk
MT_362,0.00909090909090909,Low Risk
MT_363,0.0,Low Risk
MT_364,0.0,Low Risk
MT_365,0.0,Low Risk
MT_366,0.00909090909090909,Low Risk
MT_367,0.0,Low Risk
MT_368,0.09166666666666665,Low Risk
MT_369,0.00909090909090909,Low Risk
MT_370,0.0008778601369608289,Low Risk
